Dataset Name;Object Identifier;F1: FAIR Metrics Gen2- Unique Identifier;F1: FAIR Metrics Gen2 - Identifier Persistence;F1: FAIR Metrics Gen2 - Data Identifier Persistence;F2: FAIR Metrics Gen2 - Structured Metadata;F2: FAIR Metrics Gen2 - Grounded Metadata;F3: FAIR Metrics Gen2 - Data Identifier Explicitly In Metadata;F3: FAIR Metrics Gen2- Metadata Identifier Explicitly In Metadata;F4: FAIR Metrics Gen2 - Searchable in major search engine;Average;;A;F;I;R;A1;F1;F2;F3;F4;I1;I2;I3;R1;R1.1;R1.2;R1.3;FAIR
Hydro-Geo database management system;10.20387/bonares-8fhf-7p51;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
"Raw data of the copy numbers of the 16S rRNA gene and the ITS regions as a proxy for bacterial and fungal abundance and the mass loss of maize leaf litter in a 6-week incubation study using an agricultural soil from the LTFE Scheyern; and links to the 16S";10.20387/bonares-dg82-1x07;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
Dataset of Nitrogen Fixation Related Traits of Cowpeas in Low Phosphorus Soils of Cameroon.;10.20387/bonares-afk9-4v58;1;1;0;1;1;0;0;0;0.500;;33.33;85.71;50.0;50.0;33.33;100.0;100.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;58.33
Microbial population sizes and soil properties in topsoil and subsoil of two alley-cropping agroforestry systems in Germany;10.20387/bonares-sqrj-4643;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
Long-term fertilization field experiment Darmstadt (Feld A) from 1981 to 2009 - Plot information (Data collection);10.20387/bonares-jtzt-q37m;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
Long-term fertilization field experiment Darmstadt (Feld E) from 1996 to 2009 - Experimental set-up (Data collection);10.20387/bonares-b1ee-5f49;1;1;0;0;0;0;0;0;0.250;;33.33;50.0;0.0;10.0;33.33;100.0;25.0;0.0;50.0;0.0;0.0;0.0;0.0;0.0;0.0;50.0;22.92
Long-term fertilization field experiment Darmstadt (Feld E) from 1996 to 2009 - Plot information (Data collection);10.20387/bonares-s9vv-1ss5;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
"Soil water content at agroforestry site in Forst; 2019 and 2020";10.20387/bonares-e8dh-j914;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
Giessen long-term field experiment 'biological nitrogen fixation' - plant-available phosphorus;10.20387/bonares-40gn-aw32;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
Giessen long-term field experiment 'biological nitrogen fixation' - plant-available potassium;10.20387/bonares-kgk3-6179;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
Federal state-scale soil management-related stakeholder database in German agricultural sector;10.20387/bonares-z2ak-s160;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
BonaRes Soil3 Drilling locations for core sampling to 1m depth;10.20387/40gn-aw32;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;25.0;30.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;0.0;25.0;0.0;50.0;50.0;41.67
"Lysimeter data Rostock: Soil profiles (Data collection; parent table)";10.20387/bonares-dk9k-b648;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
Open Tension-disk Infiltrometer Meta-database (OTIM);10.20387/bonares-q9b3-z989;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
Provision of Metadata of European Agricultural Long-Term Experiments through BonaRes and EJP SOIL Collaboration;10.20387/bonares-40kc-2661;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
Positive intercropping effects on biomass production are species-specific and involve rhizosphere enzyme activities: Evidence from a ﬁeld study;10.20387/bonares-9d7x-5k08;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
International long-term experiment (LTE) 'Organic and Mineral Nitrogen Fertilization Experiment' (IOSDV);10.20387/bonares-9vjf-7h07;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
Long-term field trial on tillage in crop rotation - Westerfeld;10.20387/bonares-9ne9-a828;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
Phosphorus (P) fertilization effects on dry matter and nutrient content of the legume catch crop Serradella in a pot experiment with problematic soils;10.20387/bonares-v9t8-0q40;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
Impact of phosphorus (P) release from bone char on plant traits in a field experiment;10.20387/bonares-4a4w-ag46;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
Effects of the legume catch crop Serradella on P mobilization and P release in problematic soils in a pot experiment;10.20387/bonares-32dm-7459;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
"A catalog of meta-data about agricultural long-term field experiments in Europe (EJP SOIL 7.3) (Data collection; parent table)";10.20387/bonares-jwhj-z839;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
German public's preferences for soil-based ecosystem services (discrete choice experiment);10.20387/bonares-77fb-p034;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
Earthworm data 2018 in agroforestry and monoculture - Bonares-SIGNAL-Projekt;10.20387/bonares-eyt4-dc84;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
"Corn and straw yields at the agroforestry site Forst; Brandenburg starting 2019";10.20387/bonares-t355-h550;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
Pictures for 'Regional climate change observational data FOR 1695';10.20387/bonares-2rn4-s965;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
Regional climate change observational data FOR 1695;10.20387/bonares-a0qc-46jc;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
Gross N2O emission and uptake in cropland agroforestry and monoculture systems;10.20387/bonares-x13m-z796;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
DiControl Soil GPS Data Set (Data collection);10.20387/bonares-vcr5-zb43;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
Dataset of indicators for the assessment of soil-management related ecosystem services;10.20387/bonares-mpzr-ja21;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
Soil management-related stakeholder database in German agricultural sector;10.20387/bonares-9wg3-tme7;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
Terrestrial and Aquatic Kraatz and Rittgarten Kettle Hole Experiments (ID);10.20387/bonares-9bbk-z07e;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
Long-term field experiment V140 Muencheberg from (launched in 1963) - Plots;10.20387/bonares-8fhj-r52g;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
Survey of farmers on their perception of soil compaction and application of soil conservation measures;10.20387/bonares-k85p-tr5n;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
"Arbuscular Mycorrhizal Fungal (AMF) Community During Crop Rotation; Lüneburg; Germany - OTU data";10.20387/bonares-sea4-n5sp;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
"Arbuscular Mycorrhizal Fungal (AMF) Community During Crop Rotation; Lüneburg; Germany - Metadata";10.20387/bonares-xnhz-xw6e;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
ARD Splitroot;10.20387/bonares-dykr-eh37;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
13C labeling experiment catch crops;10.20387/bonares-1naq-dvww;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
Agronomic data of long term field experiment CATCHY Asendorf;10.20387/bonares-1f76-nepa;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
Agricultural long-term experiments in Europe outside Germany;10.20387/bonares-eff3-0mb4;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
V140 Kiel: Soil mineral Nitrogen and soil water contents 2015-2018;10.20387/bonares-zdw4-083t;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
V140 Kiel: Geographical reference and description of trial plots;10.20387/bonares-00ty-1j47;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
V140 Kiel: Greenhouse gas emissions and supporting temperatures 2015-2018;10.20387/bonares-25h2-a5yp;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
"Basic information of three beech forest sites in Lower Saxony (GER); part of the research unit SubSOM";10.20387/bonares-rmtx-ttaj;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
The effect of tillage and cover crops;10.20387/bonares-47cd-h5az;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
Grassland agroforestry 2017-2018;10.20387/bonares-kwh2-fmh3;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
"Grassland yield and quality; leaf litter input; and wood yield in a short rotation coppice agroforestry systemin Lower Saxony; Germany; in 2015; 2016; and 2017";10.20387/bonares-4gjt-f0y0;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
Cropland agroforestry 2015-2018;10.20387/bonares-c6pk-yxq8;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
Test-data for internal use only;10.20387/bonares-q82e-t008-test;1;1;0;0;0;0;0;0;0.250;;33.33;50.0;0.0;10.0;33.33;100.0;25.0;0.0;50.0;0.0;0.0;0.0;0.0;0.0;0.0;50.0;22.92
BonaRes-SIGNAL biomass production starting in 2016;10.20387/bonares-qp1a-wdcc;1;1;0;1;1;0;0;0;0.500;;33.33;85.71;50.0;50.0;33.33;100.0;100.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;58.33
Nutrient response efficiency (NRE) of cropland agroforestry and monoculture in Germany 2016 and 2017;10.20387/bonares-q82e-t008;1;1;0;1;1;0;0;0;0.500;;33.33;85.71;50.0;50.0;33.33;100.0;100.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;58.33
Cropland Agroforestry 2017 and 2018;10.20387/bonares-agdc-m0dm;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;25.0;30.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;0.0;25.0;0.0;50.0;50.0;41.67
Soil values from the agricultural soil valuation for Brandenburg;10.20387/bonares-qzck-n54v;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;25.0;30.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;0.0;25.0;0.0;50.0;50.0;41.67
Spatial detection of water containing objects in soil using THz radiation.;10.20387/bonares-955z-7h2p;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
Shoot dry mass of Rosa corymbifera 'Laxa';10.20387/bonares-b0f0-27sv;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
Shoot length of Rosa corymbifera 'Laxa';10.20387/bonares-khe6-deb9;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
Primary and secondary metabolites in roots of Rosa corymbifera 'Laxa';10.20387/bonares-7xd5-stvn;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
"Amplicon data of 16S rRNA; ITS and cox2";10.20387/bonares-1pds-0x9r;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
"Amplicon sequencing data of 16S; ITS and cox2 at site S";10.20387/bonares-hsq7-8tbq;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
ARD Biomarkers: qPCR data;10.20387/bonares-hrv8-3xf3;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
ARD Biomarkers;10.20387/bonares-kvak-frbf;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
"Soil profile description from the research site Grinderwald; part of the research unit SubSOM";10.20387/bonares-hzgx-gb9s;1;1;0;1;1;0;0;0;0.500;;33.33;85.71;50.0;50.0;33.33;100.0;100.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;58.33
Litter manipulation experiment Grinderwald - Bulk soil data from soil core samples;10.20387/bonares-69h2-56q9;1;1;0;1;1;0;0;0;0.500;;33.33;85.71;50.0;50.0;33.33;100.0;100.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;58.33
Litter manipulation experiment Grinderwald - Density fractionation data from soil core samples;10.20387/bonares-dndw-5t58;1;1;0;1;1;0;0;0;0.500;;33.33;85.71;50.0;50.0;33.33;100.0;100.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;58.33
Dataset of winter wheat yields in Germany between 1958 and 2015 from N-fertilization experiments - TRIAL_SITES;10.20387/bonares-yg6f-k61b;1;1;0;1;1;0;0;0;0.500;;33.33;85.71;25.0;50.0;33.33;100.0;100.0;0.0;100.0;50.0;0.0;0.0;25.0;100.0;50.0;50.0;54.17
"Arable land rent price; rent proportion; and soil quality in Germany; at district level";10.20387/bonares-mftd-f4pk;1;1;0;1;1;0;0;0;0.500;;33.33;85.71;25.0;50.0;33.33;100.0;100.0;0.0;100.0;50.0;0.0;0.0;25.0;100.0;50.0;50.0;54.17
Scaling with ranked subsampling (SRS) algorithm for the normalization of species count data.;10.20387/bonares-bn6j-yfgz;1;1;0;0;0;0;0;0;0.250;;33.33;50.0;0.0;10.0;33.33;100.0;25.0;0.0;50.0;0.0;0.0;0.0;0.0;0.0;0.0;50.0;22.92
Study comparing scaling with ranked subsampling (SRS) and rarefying for the normalization of species count data;10.20387/bonares-e55n-7tzg;1;1;0;0;0;0;0;0;0.250;;33.33;50.0;0.0;10.0;33.33;100.0;25.0;0.0;50.0;0.0;0.0;0.0;0.0;0.0;0.0;50.0;22.92
Agroforestry promotes soil microbial groups;10.20387/bonares-9nty-5gfa;1;1;0;1;1;0;0;0;0.500;;33.33;85.71;50.0;50.0;33.33;100.0;100.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;58.33
"BonaRes SIGNAL; sites; measuring points";10.20387/bonares-4984-zwyr;1;1;0;1;1;0;0;0;0.500;;33.33;85.71;25.0;50.0;33.33;100.0;100.0;0.0;100.0;50.0;0.0;0.0;25.0;100.0;50.0;50.0;54.17
BonaRes SIGNAL: soil-N-cycling genes at Dornburg and Mariensee 2017;10.20387/bonares-0f52-s3an;1;1;0;1;1;0;0;0;0.500;;33.33;85.71;50.0;50.0;33.33;100.0;100.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;58.33
Long-term Field Experiments in Germany;10.20387/bonares-3tr6-mg8r;1;1;0;1;1;0;0;0;0.500;;33.33;85.71;50.0;50.0;33.33;100.0;100.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;58.33
Overview phosphorus fertilization experiments in Germany and Austria;10.20387/bonares-tndg-696q;1;1;0;1;1;0;0;0;0.500;;33.33;85.71;50.0;50.0;33.33;100.0;100.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;58.33
Crop health agroforestry Beule 2019;10.20387/bonares-xpwf-ey08;1;1;0;1;1;0;0;0;0.500;;33.33;85.71;50.0;50.0;33.33;100.0;100.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;58.33
Long-Term Fertilization Trial Dikopshof Plot Description;10.20387/bonares-y8a0-2z3f;1;1;0;1;1;0;0;0;0.500;;33.33;85.71;50.0;50.0;33.33;100.0;100.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;58.33
BonaRes foresight interviews 2017 - quantitative answers;10.20387/bonares-hw0r-nx6m;1;1;0;1;1;0;0;0;0.500;;33.33;85.71;50.0;50.0;33.33;100.0;100.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;58.33
"BonaRes SIGNAL; Site: Reiffenhausen; biomass production 2016/2017";10.20387/bonares-1b9y-806w;1;1;0;1;1;0;0;0;0.500;;33.33;85.71;25.0;50.0;33.33;100.0;100.0;0.0;100.0;50.0;0.0;0.0;25.0;100.0;50.0;50.0;54.17
BonaRes foresight interviews 2017 - qualitative answers;10.20387/bonares-3wwy-evt4;1;1;0;1;1;0;0;0;0.500;;33.33;85.71;50.0;50.0;33.33;100.0;100.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;58.33
Semantic mapping of the BonaRes metadata schema to INSPIRE and DataCite;10.20387/bonares-3e47-r97n;1;1;0;1;1;0;0;0;0.500;;33.33;85.71;50.0;50.0;33.33;100.0;100.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;58.33
"BonaRes SIGNAL; Site: Mariensee and Reiffenhausen; plant nutrient availability (N;P;K;Ca;Mg); Nutrient response efficiency (N;P;K;Ca;Mg); Nutrient uptake (N;P;K;Ca;Mg); Nutrient uptake and use efficiency (N;P;K;Ca;Mg)";10.20387/bonares-s84z-chbt;1;1;0;1;1;0;0;0;0.500;;33.33;85.71;25.0;50.0;33.33;100.0;100.0;0.0;100.0;50.0;0.0;0.0;25.0;100.0;50.0;50.0;54.17
"BonaRes SIGNAL; Site: Mariensee and Reiffenhausen; soil characteristics";10.20387/bonares-fq8b-031j;1;1;0;1;1;0;0;0;0.500;;33.33;85.71;50.0;50.0;33.33;100.0;100.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;58.33
Sprout_dry_weight;10.20387/bonares-5y9k-1rrq;1;1;0;1;1;0;0;0;0.500;;33.33;85.71;25.0;50.0;33.33;100.0;100.0;0.0;100.0;50.0;0.0;0.0;25.0;100.0;50.0;50.0;54.17
leaf_area_growth;10.20387/bonares-5hpy-4aky;1;1;0;1;1;0;0;0;0.500;;33.33;85.71;25.0;50.0;33.33;100.0;100.0;0.0;100.0;50.0;0.0;0.0;25.0;100.0;50.0;50.0;54.17
CN_15N_data_splitroot;10.20387/bonares-516d-wn9x;1;1;0;1;1;0;0;0;0.500;;33.33;85.71;25.0;50.0;33.33;100.0;100.0;0.0;100.0;50.0;0.0;0.0;25.0;100.0;50.0;50.0;54.17
Rootlength_Diameterclasses_Harvest;10.20387/bonares-vyhw-82hf;1;1;0;1;1;0;0;0;0.500;;33.33;85.71;25.0;50.0;33.33;100.0;100.0;0.0;100.0;50.0;0.0;0.0;25.0;100.0;50.0;50.0;54.17
Treatments_split_root_experiment;10.20387/bonares-xdhe-ybw2;1;1;0;1;1;0;0;0;0.500;;33.33;85.71;25.0;50.0;33.33;100.0;100.0;0.0;100.0;50.0;0.0;0.0;25.0;100.0;50.0;50.0;54.17
Total_root_length_box;10.20387/bonares-afgp-r4qc;1;1;0;1;1;0;0;0;0.500;;33.33;85.71;25.0;50.0;33.33;100.0;100.0;0.0;100.0;50.0;0.0;0.0;25.0;100.0;50.0;50.0;54.17
Leaf_area_sizes_chlorophyll_measurement;10.20387/bonares-p7jr-5511;1;1;0;1;1;0;0;0;0.500;;33.33;85.71;25.0;50.0;33.33;100.0;100.0;0.0;100.0;50.0;0.0;0.0;25.0;100.0;50.0;50.0;54.17
Root_diameter_classes_day_of_harvest_t33;10.20387/bonares-443r-3p33;1;1;0;1;1;0;0;0;0.500;;33.33;85.71;25.0;50.0;33.33;100.0;100.0;0.0;100.0;50.0;0.0;0.0;25.0;100.0;50.0;50.0;54.17
Long-term field experiment V140 Muencheberg from 1963 to 2009 - Plots;10.20387/bonares-bsvy-r418;1;1;0;1;1;0;0;0;0.500;;33.33;85.71;50.0;50.0;33.33;100.0;100.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;58.33
Raw data P-XANES measurements;10.20387/bonares-pdy6-hhgs;1;1;0;1;1;0;0;0;0.500;;33.33;85.71;25.0;30.0;33.33;100.0;100.0;0.0;100.0;50.0;0.0;0.0;25.0;0.0;50.0;50.0;45.83
"Effect of N fertilizers on yield; N-uptake; and N-utilization in wheat; barley; potatoes; and maize.";10.20387/bonares-fgzk-4p92;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
Crop rotation experiment “V145” at Kiel University´s experiment station - Agronomic data;10.20387/bonares-yqt8-geb1;1;1;0;0;0;0;0;0;0.250;;0.0;21.43;0.0;0.0;0.0;75.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.25
"RhizoWheat – Soil moisture data; long term experiment “V68”";10.20387/bonares-nkvm-ths8;1;1;0;0;0;0;0;0;0.250;;0.0;21.43;0.0;0.0;0.0;75.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.25
13C enrichment in the microbial C of soil samples taken from cover crop root channels and bulk soil after pulse labeling the cover crops with 13CO2;10.20387/bonares-499m-gz39;1;1;0;0;0;0;0;0;0.250;;0.0;21.43;0.0;0.0;0.0;75.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.25
